time_step,fair_value,bid_price,ask_price,spread,order_type,trade_executed,trade_size,starting_inventory,ending_inventory,inventory,starting_cash,ending_cash,cash,pnl
104,101.79715904920783,100.39715904920783,102.39715904920783,2.0,sell,True,1,4,5,5,-352.32265387276675,-452.7198129219746,-452.7198129219746,56.26598232406457
105,101.32512685246866,99.82512685246866,101.82512685246866,2.0,sell,True,1,5,6,6,-452.7198129219746,-552.5449397744433,-552.5449397744433,55.405821340368675
106,102.01733427905836,100.41733427905837,102.41733427905837,2.0,buy,True,1,6,5,5,-552.5449397744433,-450.1276054953849,-450.1276054953849,59.959065899906875
107,101.57069472700286,100.07069472700286,102.07069472700286,2.0,sell,True,1,5,6,6,-450.1276054953849,-550.1983002223877,-550.1983002223877,59.22586813962937
108,101.84492148160562,100.24492148160563,102.24492148160563,2.0,sell,True,1,6,7,7,-550.1983002223877,-650.4432217039933,-650.4432217039933,62.47122866724601
109,101.94828232385841,100.2482823238584,102.2482823238584,2.0,buy,True,1,7,6,6,-650.4432217039933,-548.1949393801349,-548.1949393801349,63.49475456301559
110,101.09877004400595,99.49877004400595,101.49877004400595,2.0,none,False,0,6,6,6,-548.1949393801349,-548.1949393801349,-548.1949393801349,58.39768088390076
111,101.90662718712574,100.30662718712574,102.30662718712574,2.0,sell,True,1,6,7,7,-548.1949393801349,-648.5015665672606,-648.5015665672606,64.8448237426195
112,102.07164632010533,100.37164632010533,102.37164632010533,2.0,buy,True,1,7,6,6,-648.5015665672606,-546.1299202471553,-546.1299202471553,66.29995767347668
113,101.6881630199656,100.0881630199656,102.0881630199656,2.0,none,False,0,6,6,6,-546.1299202471553,-546.1299202471553,-546.1299202471553,63.99905787263833
114,102.28040762974169,100.6804076297417,102.6804076297417,2.0,none,False,0,6,6,6,-546.1299202471553,-546.1299202471553,-546.1299202471553,67.5525255312948
115,103.07825690279464,101.47825690279464,103.47825690279464,2.0,buy,True,1,6,5,5,-546.1299202471553,-442.6516633443606,-442.6516633443606,72.73962116961263
116,102.28384414613821,100.78384414613821,102.78384414613821,2.0,none,False,0,5,5,5,-442.6516633443606,-442.6516633443606,-442.6516633443606,68.76755738633045
117,103.05211354904023,101.55211354904023,103.55211354904023,2.0,sell,True,1,5,6,6,-442.6516633443606,-544.2037768934008,-544.2037768934008,74.10890440084063
118,102.36122022570464,100.76122022570465,102.76122022570465,2.0,none,False,0,6,6,6,-544.2037768934008,-544.2037768934008,-544.2037768934008,69.96354446082705
119,103.09043161814456,101.49043161814457,103.49043161814457,2.0,none,False,0,6,6,6,-544.2037768934008,-544.2037768934008,-544.2037768934008,74.33881281546655
120,103.71197505802536,102.11197505802537,104.11197505802537,2.0,none,False,0,6,6,6,-544.2037768934008,-544.2037768934008,-544.2037768934008,78.06807345475136
121,102.76154778182173,101.16154778182174,103.16154778182174,2.0,none,False,0,6,6,6,-544.2037768934008,-544.2037768934008,-544.2037768934008,72.36550979752963
122,102.4259187177146,100.8259187177146,102.8259187177146,2.0,none,False,0,6,6,6,-544.2037768934008,-544.2037768934008,-544.2037768934008,70.3517354128868
123,103.03038899558888,101.43038899558888,103.43038899558888,2.0,none,False,0,6,6,6,-544.2037768934008,-544.2037768934008,-544.2037768934008,73.97855708013253
124,103.65188762873765,102.05188762873766,104.05188762873766,2.0,sell,True,1,6,7,7,-544.2037768934008,-646.2556645221384,-646.2556645221384,79.30754887902515
125,102.86807888154357,101.16807888154356,103.16807888154356,2.0,none,False,0,7,7,7,-646.2556645221384,-646.2556645221384,-646.2556645221384,73.82088764866648
126,103.58526538421913,101.88526538421912,103.88526538421912,2.0,sell,True,1,7,8,8,-646.2556645221384,-748.1409299063575,-748.1409299063575,80.54119316739548
127,103.505871853577,101.70587185357701,103.70587185357701,2.0,sell,True,1,8,9,9,-748.1409299063575,-849.8468017599346,-849.8468017599346,81.70604492225846
128,102.96106282839254,101.06106282839254,103.06106282839254,2.0,buy,True,1,9,8,8,-849.8468017599346,-746.785738931542,-746.785738931542,76.90276369559831
129,102.61758673078795,100.81758673078795,102.81758673078795,2.0,none,False,0,8,8,8,-746.785738931542,-746.785738931542,-746.785738931542,74.15495491476156
130,103.55136493888467,101.75136493888468,103.75136493888468,2.0,sell,True,1,8,9,9,-746.785738931542,-848.5371038704267,-848.5371038704267,83.42518057953544
131,103.35072170760479,101.45072170760479,103.45072170760479,2.0,none,False,0,9,9,9,-848.5371038704267,-848.5371038704267,-848.5371038704267,81.6193914980164
132,103.42315317256224,101.52315317256223,103.52315317256223,2.0,none,False,0,9,9,9,-848.5371038704267,-848.5371038704267,-848.5371038704267,82.27127468263348
133,102.65383667626509,100.75383667626508,102.75383667626508,2.0,none,False,0,9,9,9,-848.5371038704267,-848.5371038704267,-848.5371038704267,75.3474262159591
134,102.01097230861001,100.11097230861,102.11097230861,2.0,none,False,0,9,9,9,-848.5371038704267,-848.5371038704267,-848.5371038704267,69.56164690706339
135,101.54190503365595,99.64190503365595,101.64190503365595,2.0,buy,True,1,9,8,8,-848.5371038704267,-746.8951988367708,-746.8951988367708,65.44004143247685
136,101.99899515496136,100.19899515496137,102.19899515496137,2.0,sell,True,1,8,9,9,-746.8951988367708,-847.0941939917321,-847.0941939917321,70.8967624029201
137,102.02184127430031,100.12184127430031,102.12184127430031,2.0,sell,True,1,9,10,10,-847.0941939917321,-947.2160352660325,-947.2160352660325,73.00237747697065
138,101.53128628657748,99.53128628657748,101.53128628657748,2.0,none,False,0,10,10,10,-947.2160352660325,-947.2160352660325,-947.2160352660325,68.09682759974237
139,100.53466884301474,98.53466884301474,100.53466884301474,2.0,none,False,0,10,10,10,-947.2160352660325,-947.2160352660325,-947.2160352660325,58.13065316411496
140,100.61157283720033,98.61157283720033,100.61157283720033,2.0,none,False,0,10,10,10,-947.2160352660325,-947.2160352660325,-947.2160352660325,58.89969310597087
141,101.09547299287928,99.09547299287928,101.09547299287928,2.0,buy,True,1,10,9,9,-947.2160352660325,-846.1205622731532,-846.1205622731532,63.738694662760395
